airline_code;airline;airline_row;aircraft_id;aircraft_type;source_sheet;source_row
AB;Air Berlin;Air Berlin;BOE-757-200;Boeing 757-200;AirBerlin;20
AB;Air Berlin;Air Berlin;BAE-146-200;British Aerospace 146-200;AirBerlin;21
AB;Air Berlin;Air Berlin;BAE-146-300;British Aerospace 146-300;AirBerlin;22
AB;Air Berlin;Air Berlin;DHC-DHC8-400;De Havilland Canada DHC-8-400;AirBerlin;23
AB;Air Berlin;Air Berlin;EMB-E190;Embraer ERJ-190;AirBerlin;24
AB;Air Berlin;Air Berlin;FOK-F100;Fokker 100;AirBerlin;25
AF;Air France;Air France;ATR42-300;ATR 42;AirFrance;4
AF;Air France;Air France;ATR72-200;ATR 72;AirFrance;5
AF;Air France;Air France;AIB-A220-300;Airbus A220-300;AirFrance;6
AF;Air France;Air France;AIB-A300-B2;Airbus A300B2;AirFrance;7
AF;Air France;Air France;AIB-A300-B4;Airbus A300B4;AirFrance;8
AF;Air France;Air France;AIB-A310-200;Airbus A310-200;AirFrance;9
AF;Air France;Air France;AIB-A310-300;Airbus A310-300;AirFrance;10
AF;Air France;Air France;AIB-A318;Airbus A318-100;AirFrance;11
AF;Air France;Air France;AIB-A319;Airbus A319-100;AirFrance;12
AF;Air France;Air France;AIB-A320-100;Airbus A320-100;AirFrance;13
AF;Air France;Air France;AIB-A320-200;Airbus A320-200;AirFrance;14
AF;Air France;Air France;AIB-A321-100;Airbus A321-100;AirFrance;15
AF;Air France;Air France;AIB-A321-200;Airbus A321-200;AirFrance;16
AF;Air France;Air France;AIB-A330-200;Airbus A330-200;AirFrance;17
AF;Air France;Air France;AIB-A340-200;Airbus A340-200;AirFrance;18
AF;Air France;Air France;AIB-A340-300;Airbus A340-300;AirFrance;19
AF;Air France;Air France;AIB-A350-900;Airbus A350-900;AirFrance;20
AF;Air France;Air France;AIB-A380-800;Airbus A380-800;AirFrance;21
AF;Air France;Air France;SUD-CONCORDE;Aérospatiale/BAC Concorde;AirFrance;22
AF;Air France;Air France;BOE-737-200;Boeing 737-200;AirFrance;23
AF;Air France;Air France;BOE-737-300;Boeing 737-300;AirFrance;24
AF;Air France;Air France;BOE-737-500;Boeing 737-500;AirFrance;25
AF;Air France;Air France;BOE-747-100;Boeing 747-100;AirFrance;26
AF;Air France;Air France;BOE-747-200;Boeing 747-200;AirFrance;27
AF;Air France;Air France;BOE-747-300;Boeing 747-300;AirFrance;28
AF;Air France;Air France;BOE-747-400;Boeing 747-400;AirFrance;29
AF;Air France;Air France;BOE-767-200;Boeing 767-200;AirFrance;30
AF;Air France;Air France;BOE-767-300;Boeing 767-300;AirFrance;31
AF;Air France;Air France;BOE-777-200;Boeing 777-200;AirFrance;32
AF;Air France;Air France;BOE-777F;Boeing 777F;AirFrance;33
AF;Air France;Air France;BOE-777-300ER;Boeing 777-300ER;AirFrance;34
AF;Air France;Air France;BOE-787-9;Boeing 787-9 Dreamliner;AirFrance;35
AF;Air France;Air France;BOM-CRJ100;Bombardier CRJ-100;AirFrance;36
AF;Air France;Air France;BOM-CRJ200;Bombardier CRJ-200;AirFrance;37
AF;Air France;Air France;BOM-CRJ700;Bombardier CRJ-700;AirFrance;38
AF;Air France;Air France;BOM-CRJ900;Bombardier CRJ-900;AirFrance;39
AF;Air France;Air France;BOM-CRJ1000;Bombardier CRJ-1000;AirFrance;40
AF;Air France;Air France;BRI-Britannia-312;Bristol 175 Britannia 312;AirFrance;41
AF;Air France;Air France;BAE-146-100;British Aerospace 146-100;AirFrance;42
AF;Air France;Air France;BAE-146-200;British Aerospace 146-200;AirFrance;43
AF;Air France;Air France;BAE-146-300;British Aerospace 146-300;AirFrance;44
AF;Air France;Air France;CON-CV990;Convair CV-990 Coronado;AirFrance;45
AF;Air France;Air France;DHC-DHC7;De Havilland Canada DHC-7-100;AirFrance;46
AF;Air France;Air France;DOR-Do328-100;Dornier 328-100;AirFrance;47
AF;Air France;Air France;DOU-DC8-30;Douglas DC-8-30 Series 30;AirFrance;48
AF;Air France;Air France;DOU-DC8-61;Douglas DC-8-61 Super 61;AirFrance;49
AF;Air France;Air France;EMB-EMB120;Embraer EMB-120 Brasilia;AirFrance;50
AF;Air France;Air France;EMB-ERJ135;Embraer ERJ-135;AirFrance;51
AF;Air France;Air France;EMB-ERJ145;Embraer ERJ-145;AirFrance;52
AF;Air France;Air France HOP;EMB-E170-WL;Embraer E170 (Winglets);AirFrance;53
AF;Air France;Air France;EMB-E190;Embraer ERJ-190;AirFrance;54
AF;Air France;Air France;FOK-F70;Fokker 70;AirFrance;55
AF;Air France;Air France;FOK-F100;Fokker 100;AirFrance;56
AF;Air France;Air France;LOC-L1011-500;Lockheed L-1011 TriStar 500;AirFrance;57
AF;Air France;Air France;MCD-DC10-30;McDonnell Douglas DC-10-30;AirFrance;58
AF;Air France;Air France;SAB-340;Saab 340;AirFrance;59
AF;Air France;Air France;SAB-2000;Saab 2000;AirFrance;60
AF;Air France;Air France;VFW-614;VFW-Fokker 614;AirFrance;61
AZ;Alitalia;Alitalia;AIB-A300-B2;Airbus A300B2;Alitalia;4
AZ;Alitalia;Alitalia;AIB-A300-B4;Airbus A300B4;Alitalia;5
AZ;Alitalia;Alitalia;AIB-A319;Airbus A319-100;Alitalia;6
AZ;Alitalia;Alitalia;AIB-A320-200;Airbus A320-200;Alitalia;7
AZ;Alitalia;Alitalia;AIB-A321-100;Airbus A321-100;Alitalia;8
AZ;Alitalia;Alitalia;AIB-A330-200;Airbus A330-200;Alitalia;9
AZ;Alitalia;Alitalia;BOE-737-200;Boeing 737-200;Alitalia;10
AZ;Alitalia;Alitalia;BOE-747-100;Boeing 747-100;Alitalia;11
AZ;Alitalia;Alitalia;BOE-747-200;Boeing 747-200;Alitalia;12
AZ;Alitalia;Alitalia;BOE-747-400;Boeing 747-400;Alitalia;13
AZ;Alitalia;Alitalia;BOE-767-300;Boeing 767-300;Alitalia;14
AZ;Alitalia;Alitalia;BOE-777-200ER;Boeing 777-200ER Extended Range;Alitalia;15
AZ;Alitalia;Alitalia;DOU-DC8-40;Douglas DC-8-40;Alitalia;16
AZ;Alitalia;Alitalia;DOU-DC8-50;Douglas DC-8-50;Alitalia;17
AZ;Alitalia;Alitalia;DOU-DC8-62;Douglas DC-8-60/70;Alitalia;18
AZ;Alitalia;Alitalia;MCD-DC9-30;McDonnell Douglas DC-9-30;Alitalia;19
AZ;Alitalia;Alitalia;MCD-DC9-30F;McDonnell Douglas DC-9-32F;Alitalia;20
AZ;Alitalia;Alitalia;MCD-DC10-30;McDonnell Douglas DC-10-30;Alitalia;21
AZ;Alitalia;Alitalia;MCD-MD11;McDonnell Douglas MD-11;Alitalia;22
AZ;Alitalia;Alitalia;MCD-MD82;McDonnell Douglas MD-82;Alitalia;23
BA;British Airways;British Airways;ATR42-300;ATR 42;BA;4
BA;British Airways;British Airways;ATR72-200;ATR 72;BA;5
BA;British Airways;British Airways;AIB-A318;Airbus A318-100;BA;6
BA;British Airways;British Airways;AIB-A319;Airbus A319-100;BA;7
BA;British Airways;British Airways;AIB-A320-100;Airbus A320-100;BA;8
BA;British Airways;British Airways;AIB-A320-200;Airbus A320-200;BA;9
BA;British Airways;British Airways;AIB-A320-neo;Airbus A320neo;BA;10
BA;British Airways;British Airways;AIB-A321-200;Airbus A321-200;BA;11
BA;British Airways;British Airways;AIB-A321-neo;Airbus A321neo;BA;12
BA;British Airways;British Airways;AIB-A350-1000;Airbus A350-1000;BA;13
BA;British Airways;British Airways;AIB-A380-800;Airbus A380-800;BA;14
BA;British Airways;British Airways;SUD-Concorde;Aérospatiale/BAC Concorde;BA;15
BA;British Airways;British Airways;BAC-111-400;BAC 1-11 Series 400;BA;16
BA;British Airways;British Airways;BAC-111-500;BAC 1-11 Series 500;BA;17
BA;British Airways;British Airways;VIC-VC10;BAC VC-10 Standard;BA;18
BA;British Airways;British Airways;VIC-VC10-SUPER;BAC VC-10 Super;BA;19
BA;British Airways;British Airways;BOE-737-200;Boeing 737-200;BA;20
BA;British Airways;British Airways;BOE-737-200;Boeing 737-200;BA;21
BA;British Airways;British Airways;BOE-737-300;Boeing 737-300;BA;22
BA;British Airways;British Airways;BOE-737-400;Boeing 737-400;BA;23
BA;British Airways;British Airways;BOE-737-500;Boeing 737-500;BA;24
BA;British Airways;British Airways;BOE-737-800;Boeing 737-800;BA;25
BA;British Airways;British Airways;BOE-737-MAX8;Boeing 737 MAX 8;BA;26
BA;British Airways;British Airways;BOE-747-100;Boeing 747-100;BA;27
BA;British Airways;British Airways;BOE-747-200;Boeing 747-200;BA;28
